(0, 1, 0)	1	0	72309	24813	26	25
(1, 0, 0)	2	0	13612	38475	19	19
(0, 2, 0)	2	0	141889	165083	47	47
(2, 0, 0)	2	0	57337	28084	22	22
(0, 3, 0)	1	0	98879	112264	28	27
(3, 0, 0)	2	0	99306	105366	29	29
(0, 4, 0)	1	0	45273	105823	22	21
(4, 0, 0)	2	0	157424	88426	32	32
(0, 5, 0)	2	0	93566	131697	29	29
(5, 0, 0)	2	0	87356	46695	18	18
(0, 6, 0)	1	0	63933	93206	28	27
(6, 0, 0)	1	0	140956	113261	38	37
(0, 7, 0)	1	0	43794	87319	16	15
(7, 0, 0)	2	0	93199	50505	24	24
(0, 8, 0)	1	0	56107	42582	17	16
(8, 0, 0)	2	0	52967	46088	14	14
(0, 9, 0)	1	0	18655	17142	11	10
(9, 0, 0)	2	0	43643	62341	27	27
(0, 10, 0)	1	0	105902	102221	29	28
(10, 0, 0)	2	0	81201	58192	15	15
(0, 11, 0)	1	0	23134	23826	16	15
(11, 0, 0)	2	0	12839	45737	23	23
(1, 2, 0)	2	0	56421	56341	24	24
(2, 1, 0)	1	0	65996	21241	19	18
(1, 3, 0)	1	0	19189	91794	19	18
(3, 1, 0)	2	0	57999	27396	12	12
(1, 4, 0)	1	0	19331	170111	31	30
(4, 1, 0)	2	0	178036	90506	42	42
(1, 5, 0)	2	0	86548	150726	32	32
(5, 1, 0)	2	0	108059	50039	31	31
(1, 6, 0)	1	0	15140	85809	17	16
(6, 1, 0)	2	0	135710	30749	28	28
(1, 7, 0)	1	0	108869	137412	27	26
(7, 1, 0)	2	0	91305	22724	13	13
(1, 8, 0)	1	0	21115	73376	18	17
(8, 1, 0)	2	0	32073	16465	11	11
(1, 9, 0)	1	0	11169	18380	15	14
(9, 1, 0)	2	0	58015	50870	32	32
(1, 10, 0)	1	0	15084	61963	15	14
(10, 1, 0)	2	0	64428	17494	13	13
(1, 11, 0)	1	0	20623	18761	17	16
(11, 1, 0)	2	0	20924	22275	13	13
(2, 3, 0)	1	0	90501	86995	19	18
(3, 2, 0)	2	0	151523	167471	45	45
(2, 4, 0)	1	0	115718	146841	27	26
(4, 2, 0)	2	0	149730	64129	24	24
(2, 5, 0)	2	0	131873	125422	29	29
(5, 2, 0)	2	0	56801	35723	13	13
(2, 6, 0)	1	0	139895	137881	30	29
(6, 2, 0)	2	0	126010	88073	21	21
(2, 7, 0)	1	0	151296	151852	29	28
(7, 2, 0)	2	0	69006	22348	15	15
(2, 8, 0)	1	0	58103	38815	14	13
(8, 2, 0)	2	0	145308	148652	36	36
(2, 9, 0)	1	0	84674	24325	16	15
(9, 2, 0)	2	0	34749	46968	16	16
(2, 10, 0)	1	0	108954	69342	25	24
(10, 2, 0)	2	0	52380	35857	15	15
(2, 11, 0)	1	0	65313	37299	16	15
(11, 2, 0)	2	0	77578	86881	23	23
