(0, 1, 0)	1	0	898450	913290	56	55
(1, 0, 0)	2	0	834451	524099	26	26
(0, 2, 0)	1	0	925185	658928	36	35
(2, 0, 0)	2	0	406181	594815	25	25
(0, 3, 0)	1	0	779058	858453	37	36
(3, 0, 0)	2	0	835312	724627	39	39
(0, 4, 0)	1	0	539632	784329	27	26
(4, 0, 0)	2	0	571107	443184	24	24
(0, 5, 0)	1	0	513599	610055	26	25
(5, 0, 0)	2	0	577730	509595	24	24
(0, 6, 0)	1	0	406449	370808	14	13
(6, 0, 0)	2	0	305851	401293	19	19
(0, 7, 0)	1	0	583822	407594	30	29
(7, 0, 0)	2	0	232032	405681	21	21
(0, 8, 0)	1	0	393404	312775	20	19
(8, 0, 0)	2	0	633730	775267	34	34
(0, 9, 0)	1	0	756533	466035	36	35
(9, 0, 0)	2	0	221812	383334	19	19
(0, 10, 0)	1	0	525751	761962	28	27
(10, 0, 0)	2	0	632137	450012	25	25
(0, 11, 0)	1	0	428748	529376	25	24
(11, 0, 0)	2	0	765622	395569	23	23
(1, 2, 0)	2	0	854405	457222	34	34
(2, 1, 0)	2	0	683530	830859	29	29
(1, 3, 0)	2	0	829374	273669	32	32
(3, 1, 0)	2	0	868765	807107	47	47
(1, 4, 0)	1	0	820992	752410	31	30
(4, 1, 0)	2	0	746976	747510	30	30
(1, 5, 0)	1	0	670556	756138	29	28
(5, 1, 0)	2	0	802819	858308	33	33
(1, 6, 0)	1	0	634937	642702	33	32
(6, 1, 0)	0	0	973073	941814	106	106
(1, 7, 0)	1	0	787816	359049	31	30
(7, 1, 0)	2	0	554217	950887	48	48
(1, 8, 0)	1	0	775139	540408	26	25
(8, 1, 0)	2	0	491168	721298	27	27
(1, 9, 0)	1	0	788163	345098	45	44
(9, 1, 0)	2	0	356837	842535	42	42
(1, 10, 0)	1	0	804656	876494	31	30
(10, 1, 0)	2	0	686117	620799	24	24
(1, 11, 0)	1	0	857631	892621	44	43
(11, 1, 0)	2	0	895399	835444	35	35
(2, 3, 0)	2	0	469224	311692	27	27
(3, 2, 0)	1	0	703067	667212	36	35
(2, 4, 0)	1	0	456009	756833	32	31
(4, 2, 0)	2	0	625560	222522	27	27
(2, 5, 0)	1	0	254164	432000	25	24
(5, 2, 0)	2	0	414882	182341	17	17
(2, 6, 0)	2	0	560293	588542	30	30
(6, 2, 0)	1	0	634673	765373	40	39
(2, 7, 0)	1	0	69813	150413	26	25
(7, 2, 0)	2	0	484092	418126	29	29
(2, 8, 0)	1	0	369218	488207	27	26
(8, 2, 0)	2	0	382810	126210	24	24
(2, 9, 0)	1	0	234389	206525	35	34
(9, 2, 0)	2	0	144899	405185	37	37
(2, 10, 0)	1	0	224880	406549	25	24
(10, 2, 0)	2	0	784839	396683	30	30
(2, 11, 0)	1	0	156393	534951	25	24
(11, 2, 0)	2	0	630107	438501	32	32
